tracking_id,L027,L072,L078,L140,L102,L115,L133,L137,L149,L074,N048,N068,N090,N098,L005,L101,L062,L031
MLNR,0.0304639,0,0.029329,0.0246395,0.787874,0.0782633,0,0,0,0,0,0,0.0273697,0,0,0.0153696,0.0128579,0
MLPH,0,0,0,0,0,0,0,0,0,0.00444867,0,0.18379,0,0,0,0,0,0
MLST8,12.1192,11.7691,13.7175,15.4047,13.3395,15.1769,15.9947,14.6907,13.7977,13.2658,17.3524,12.6222,15.8992,16.4902,15.586,15.3413,10.9929,12.4967
MLX,14.6222,12.359,15.5757,14.4488,14.0445,15.3604,16.2225,12.3712,12.9404,16.1889,11.5651,12.2055,10.4233,11.0203,14.0167,13.0376,13.194,13.4949
MLXIP,16.4933,16.0613,9.74648,30.8101,16.4594,11.9151,15.897,21.0072,14.5636,12.6202,17.9638,22.3825,19.3091,17.9687,11.4648,18.1645,18.9412,10.4478
MLXIPL,0.00530375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLYCD,2.64247,2.42797,2.69347,2.63492,2.53262,2.33444,3.00478,2.01305,2.36623,2.57729,2.44689,3.16252,1.78107,2.60837,2.87764,1.65194,2.61234,1.50212
MMAA,1.22935,1.44083,1.09936,1.23336,1.20558,0.846736,1.2519,1.9817,1.22003,1.05073,2.22103,1.59731,1.99548,2.14091,2.21781,1.94862,1.23418,1.10455
MMAB,3.72953,3.30259,3.1143,3.6002,3.94466,4.42675,3.54792,2.51634,2.32516,3.2534,1.55441,3.88233,1.73284,1.73939,1.73488,3.2169,3.13549,3.77088
MMACHC,0.459312,0.148211,0.384554,0.729921,0.527185,0.230508,0.541652,0.313907,0.499297,0.522594,0.126187,0.828002,0.212382,0.228443,0.281894,0.269076,0.480301,0.182251
MMADHC,50.4754,47.8713,51.5051,32.7526,52.1453,47.5166,65.0618,71.1055,37.7932,52.9845,69.0666,40.6602,54.3955,56.694,75.4434,74.0104,38.2904,69.7149
MMD,5.81866,8.26398,5.07728,7.14891,6.62975,7.42326,5.52374,13.5862,5.18611,6.5165,18.5621,4.6966,9.08437,12.6093,12.988,10.7793,6.00814,9.4325
MMD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MME,0.159521,0.355564,0.339075,0.26598,1.93236,0.400875,0.103109,0.171883,0.297352,0.577643,0.502671,0.299673,0.293099,0.262984,0.156371,0.599137,0.502964,0.305595
MMEL1,1.48796,1.37307,1.26882,1.7079,1.26723,1.26502,1.05255,0.811288,1.14591,0.956517,0.688892,1.70877,0.689103,0.713978,0.761976,0.959802,0.977356,0.926971
MMGT1,17.4633,14.3834,16.1803,6.61619,14.159,17.065,9.1248,20.8038,10.0124,18.6356,19.7516,11.7455,15.2268,15.6466,24.7961,17.7442,11.3485,21.4369
MMP1,0,0,0,0,0.0358942,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP11,1.55072,1.15445,0.560495,1.59185,1.21875,2.15678,0.701004,1.12949,0.609555,0.967795,1.11803,1.60012,1.22896,1.04855,1.20463,0.846892,1.19928,0.69264
MMP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP14,0.00472676,0.0944834,0.0364636,0.231736,0.0362516,0.0048747,0.0201847,0.212641,0.179404,0.0168532,0.167478,0.0504666,0.18322,0.170494,0.0588263,0.0382786,0.0799432,0.0105605
MMP15,0.246406,0.165369,0.336353,0.136416,0.726901,0.230735,0.0777351,0.212353,0.262504,0.277066,0.189528,0.219251,0.164079,0.253606,0.302853,0.142026,0.137868,0.309176
