tracking_id,L027,L072,L078,L140,L102,L115,L133,L137,L149,L074,N048,N068,N090,N098,L005,L101,L062,L031
A1BG,4.43526,5.65784,3.18539,5.61407,6.76517,13.6235,1.57744,5.9994,1.64541,2.9118,5.90503,4.80408,4.22007,4.86138,6.08366,5.25329,2.62131,5.15539
A1BG-AS1,0.488185,0.503268,0.382777,1.58335,0.586863,0.494335,0.218729,0.577714,0.609716,0.376244,0.352573,0.72128,0.677991,0.522991,0.419846,0.435078,0.811181,0.480418
A1CF,0.00354756,0,0,0.00436121,0,0,0.00910552,0,0,0,0,0,0.00800574,0.00156208,0,0.00179612,0.00149947,0
A2M,0.0144313,0.0393481,0.041755,0.0383657,0.0103772,0.00744435,0.0986504,0,0.03271,0.0321567,0.0557589,0.00963083,0.0065069,0.00952848,0.0935888,0.00365341,0.00610305,0.13705
A2M-AS1,0.0723547,0.284632,0.147219,0.176793,0.46231,0.0910986,0.0959861,0.328818,0.252879,0.114684,0.138502,0.464825,0.108592,0.183522,0.108236,0.211378,0.224224,0.22442
A2ML1,0,0.0058535,0.0431189,0,0,0,0,0,0.00737688,0.00398551,0,0,0,0,0,0,0,0
A2MP1,0.0157985,0.0143132,0.045626,0.0638551,0,0.0162318,0.0134275,0.0156822,0.0922366,0.0281865,0.099817,0.0280897,0.0709565,0.069031,0.0163067,0.031877,0.0266697,0
A3GALT2,0,0,0,0.015416,0,0,0,0.0189508,0.0480272,0,0,0,0.0171674,0.0166858,0.0394381,0,0,0
A4GALT,0.0506323,0,0.0243983,0,0.0242629,0.00869186,0.0143909,0.0168323,0,0,0.0229496,0,0,0,0,0,0.021395,0.0942216
A4GNT,0,0,0,0,0.00971742,0,0,0.0101025,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,14.2883,11.8482,14.4135,16.363,14.3027,14.6655,14.4181,9.39713,13.9494,13.8061,9.55195,16.9599,9.63352,8.69155,9.1663,9.85488,13.4284,12.7835
AACS,5.57933,4.34535,4.87941,5.8495,5.20579,5.74786,3.73768,4.08716,4.02865,5.66033,2.8418,5.6633,2.82467,3.764,3.11643,5.01276,4.42674,4.61396
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0.00939476,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0.0273487,0,0.0241551,0,0,0,0,0.0769107,0,0.0271171,0,0,0,0,0,0.0510271,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0.0121168,0,0,0,0,0,0,0,0,0
AADAT,0.00835465,0,0,0,0.0721835,0,0,0.0166798,0.027705,0,0.0151577,0.00744212,0.0301274,0,0.0259833,0,0.00705901,0
AAED1,6.23609,7.70629,7.77199,2.6712,6.81606,5.39279,2.93919,9.76255,5.35378,7.32533,11.2736,5.02257,6.82265,9.52553,10.6286,7.13306,5.18578,7.76562
AAGAB,15.9482,13.4706,19.0347,9.85362,14.2043,18.8884,17.4877,10.5357,12.1142,17.3459,9.09374,13.0076,8.6605,8.61652,10.1387,13.3816,13.7433,17.0084
AAK1,5.78301,5.34406,3.73565,9.69267,5.09584,2.51056,3.82191,5.85972,7.85144,5.01628,5.58694,6.74438,10.5555,9.95739,6.90735,6.09236,7.33305,3.23051
AAMDC,7.15783,6.11589,7.33096,3.61892,5.84044,6.96833,5.4125,6.95441,4.2447,5.73351,3.07923,6.43565,3.26865,3.87401,5.00615,5.70714,4.00464,7.34018
AAMP,39.1761,31.4018,49.5671,27.6056,35.9326,45.463,46.7214,20.8228,29.2839,39.155,18.9264,36.8913,20.4234,22.8823,22.5845,24.0021,27.0697,30.6203
AANAT,0.0621974,0.0675931,0.0364035,0.194228,0.127788,0.0777474,0.258129,0.0374036,0.0677799,0.0498082,0.267613,0.00828062,0.119448,0.0827941,0.0982417,0.0380684,0.135282,0.0956009
AAR2,15.5714,17.0699,17.7411,15.0799,16.0979,13.0684,19.177,29.9192,14.7622,16.3834,42.4571,15.8342,30.3994,30.3516,40.0669,29.5265,14.9795,26.8029
AARD,0,0.0182302,0.106473,0.00816622,0.0192535,0,0.0342394,0.0100088,0.00833192,0,0.0636875,0.0536082,0.0904057,0.255479,0.0727643,0.0203057,0.0424383,0.0448573
AARS,25.4804,18.1819,19.5333,17.5591,17.4352,22.9403,25.116,7.99276,17.5545,26.4229,6.93027,22.4115,7.33221,7.19534,8.14444,9.10617,17.6776,19.4612
AARS2,2.33898,2.54656,2.23896,6.30557,2.66954,2.30103,3.71273,2.74359,4.41883,2.18474,2.71634,4.8365,3.63356,3.59056,1.82303,2.23721,4.17323,1.88454
AARSD1,17.6421,15.2276,16.3584,17.0355,17.2208,22.8761,17.2773,15.9323,12.2013,16.6511,11.5129,18.6725,10.6324,12.5063,12.4996,15.5564,16.9001,22.4533
AASDH,4.1291,3.97012,3.44557,4.41489,4.25783,3.92615,3.35033,3.37282,3.92205,3.37756,2.47223,5.92481,3.49823,3.69799,3.466,2.92541,5.28787,2.05557
AASDHPPT,15.6187,10.95,11.762,9.1703,12.1217,14.4811,11.472,12.9919,9.73093,12.6464,13.7418,10.9823,15.2723,15.2801,18.6973,13.5875,10.7676,13.6262
AASS,0.527452,0.793969,0.177793,0.988918,0.668874,0.251671,0.366013,0.692562,0.808097,0.381635,0.673175,0.534966,0.813396,0.434588,0.556306,0.3418,0.66927,0.34221
AATBC,0.0438329,0.142751,1.617,0.0717074,0.0175106,0.0226107,0.527472,0.0730836,0.313122,0.224644,0.0697341,0.162511,0.158107,0.135055,0.125072,0.0628802,0.18228,0.0122431
AATF,44.365,39.5859,48.3642,29.7354,36.7239,39.9189,46.2026,47.7731,32.9429,42.7466,25.4898,39.6603,25.1158,33.5953,33.7578,47.699,37.7938,47.6625
AATK,0.0690356,0.0986054,0.244349,6.95678,0.384719,1.60472,0.0702356,0.0790912,1.81201,0.0616709,0.40646,0.281101,0.0936149,0.11868,1.3513,0.0998782,0.161279,0.0624417
AATK-AS1,0,0,0,0.00937372,0,0,0,0,0.00959191,0,0,0.0205393,0,0,0,0,0,0
ABALON,8.85839,9.84054,12.1814,8.61476,12.0967,15.8802,9.79292,6.68276,8.66926,10.5956,5.71824,5.50522,3.85193,4.20607,14.9744,9.2006,7.78584,13.1825
ABAT,1.67217,1.1815,1.78036,2.2923,1.32948,0.944966,2.2025,0.871063,2.43309,1.68544,0.99113,1.20373,1.77891,1.43401,1.03808,1.08865,1.9399,0.957353
ABCA1,0.476887,0.378202,0.463094,0.63437,0.269881,0.413246,0.772924,0.656273,1.0418,0.698098,2.12908,0.396572,3.76712,1.93636,1.3429,0.362807,1.64705,0.0524216
ABCA10,0.0262371,0.0262371,0.0202466,0.116006,0.0301887,0.0352011,0.0358861,0.0341443,0.19228,0.0140302,0.0550024,0.0770473,0.0852027,0.0739573,0.0108943,0.0292342,0.104318,0.011727
ABCA11P,3.0959,2.59817,2.07265,4.70758,3.21262,3.65106,3.76347,3.21138,2.96284,2.73374,2.82266,3.95954,3.90789,3.26017,3.4431,3.1915,3.45928,2.76843
ABCA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA13,0.00949159,0.010359,0.00274736,0.0140118,0.346792,0.00392051,0.00568392,0.00190237,0.0124849,0.0118416,0.00172851,0,0.0077099,0.00334777,0.011832,0,0,0.00424334
ABCA17P,0.012079,0.0109769,0.00776593,0.0526752,0.00772038,0.0166134,0,0,0.0199195,0,0.014638,0.0394081,0.0108911,0.00354369,0.00417705,0,0.013621,0.00899644
ABCA2,8.1063,9.9526,11.7019,23.7975,9.58334,10.2339,6.76361,7.74151,18.8804,7.09077,7.96327,7.62887,8.59272,8.92451,6.68181,9.9515,11.6482,16.4504
ABCA3,1.3,2.06767,2.08033,2.02448,1.11921,0.961684,0.743051,1.56979,1.50549,1.25013,1.8571,1.7609,1.4868,1.62184,1.39635,1.3397,1.24172,1.49743
ABCA4,0,0,0.00217889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191089,0
ABCA5,1.1752,1.43547,0.863627,2.18601,1.06861,0.688002,0.587379,1.09692,2.69302,1.18041,1.14233,2.14665,1.74832,1.24565,0.71633,0.864457,1.56285,0.825671
ABCA6,0.00315444,0.0172037,0.00912754,0.0309777,0.0151224,0,0.00808785,0.0220969,0.0519761,0.00843442,0.0172111,0.0280694,0.014225,0.00555556,0.0163687,0.00319473,0.0293508,0
ABCA7,5.82282,12.5679,5.7552,27.8587,7.21043,7.48022,6.63049,13.115,21.4131,7.18508,13.6513,15.599,12.5103,14.3634,4.9672,8.68152,17.7396,4.02623
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0.00527314,0.00719061,0.00508644,0.0366989,0,0,0,0.00527867,0.0217107,0.00234982,0.00719498,0.00703862,0.00951332,0.0116124,0.0054738,0,0.011152,0.00883835
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,4.66063,2.69675,4.48127,2.40396,4.29793,2.17665,1.58692,1.65866,2.72696,5.09581,2.65875,3.64056,2.64367,2.00144,2.70228,2.60477,3.98115,3.00505
ABCB10,10.2477,6.18925,11.5751,6.62922,11.3308,9.31125,8.34107,5.63468,9.78486,9.54895,5.75869,7.45054,7.98453,7.73517,9.66449,8.57075,7.35252,11.9482
ABCB11,0,0.00319204,0,0,0,0,0.00300111,0,0.00868329,0.00313028,0.00319304,0,0,0,0,0,0,0.00392393
ABCB4,0.253984,0.0563039,0.0493052,0.036176,0.298763,0.287597,0.105902,0.0265525,0.0511116,0.11394,0.340562,0.0530814,0.295278,0.0372935,0.128545,0.0134414,0.376128,0.0380769
ABCB5,0,0,0.00370988,0.00314587,0,0,0,0,0.00634268,0.0102863,0,0.00342279,0,0.00677212,0.00399104,0,0.00325345,0
ABCB6,1.10306,1.0588,0.751038,3.03562,0.910238,0.896877,1.95133,0.556708,1.53554,1.29756,0.526602,1.48722,0.456034,0.444936,0.406719,0.66747,1.39416,1.16221
ABCB7,12.8224,9.24111,9.4647,8.10985,11.0517,12.8051,9.11594,7.49768,7.75536,11.0015,5.3543,10.7174,6.0504,6.18738,8.44277,10.0109,8.48279,10.9156
ABCB8,4.43675,4.48738,5.40071,8.43095,4.24287,5.59792,6.87525,4.03647,6.96389,4.87714,3.54436,6.28943,3.63231,4.23087,3.0667,4.20005,5.83236,5.15505
ABCB9,0.471274,1.34131,0.972108,1.28522,0.802951,0.459794,3.08022,0.954036,0.940222,1.79851,1.29971,1.39217,1.00657,0.832135,0.789057,0.638768,1.1023,2.82327
ABCC1,22.2445,25.0658,20.7817,26.4512,28.2724,17.9974,23.3351,22.4693,24.8144,22.4435,17.6896,20.7669,21.8774,24.7431,20.9871,17.7846,18.6704,19.9745
ABCC10,5.17379,6.97405,6.19914,10.5997,4.97853,4.43411,5.99958,5.97103,9.26523,5.62187,5.49716,7.74299,5.59553,6.09688,3.38757,5.34528,7.8808,5.08186
ABCC11,0,0,0.0109027,0.00616337,0.00361329,0.00388663,0.00643883,0.0113085,0.0217459,0,0.020554,0.00670548,0.00679543,0,0.00390888,0.00381481,0.00637376,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,0.00610298,0,0.0245243,0.00996019,0.0976725,0.0522895,0,0,0.00504235,0,0.0166204,0,0,0,0.31215,0,0,0
ABCC2,0.208393,0.275782,0.0975447,0.970662,0.217439,0.0758955,0.175491,0.260692,0.671536,0.17754,0.239679,0.376328,0.442249,0.375135,0.124045,0.201749,0.56512,0.126695
ABCC3,0.0420768,0.441559,3.05706,0.0211885,0.217232,0.0166984,0.906645,0.0356278,0.306678,0.259092,0.111357,0.241211,0.0233528,0.0057001,0.312408,0.0393353,0.301155,0.0211776
ABCC4,2.2464,2.09048,2.70913,1.42993,2.56421,2.4755,2.00387,1.61001,1.78947,2.73566,1.19263,1.43901,1.98894,2.50416,2.98977,1.97903,1.9399,2.65016
ABCC5,5.77832,5.58654,5.82654,9.05192,6.43743,4.70031,4.02763,5.1051,8.47757,5.94509,4.29,6.59379,4.71581,4.6387,3.7206,5.88181,6.76888,6.43596
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0.0032688,0.0300202,0.00315276,0.00534952,0.107484,0,0,0.00981267,0.0107733,0.00582684,0.00297231,0.00872601,0.0176882,0.00575656,0.00339226,0.00993131,0.00552985,0.014609
ABCC6P1,0,0,0,0,0.0303997,0.00653775,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0.029321,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353116,0,0,0
ABCC9,0.51722,0.763977,0.323079,1.2729,0.42565,0.296616,0.681199,1.43685,0.994774,0.445052,1.30741,0.622527,1.35885,1.16478,0.909495,0.74888,0.9523,0.50713
ABCD1,5.22004,4.82297,7.82522,6.00305,5.05323,6.70681,6.58279,3.37579,6.38937,5.47457,4.68382,5.73245,3.56168,2.90146,3.08891,4.9608,5.87931,4.37739
ABCD2,8.39584,6.53729,4.22542,8.00723,7.16851,7.59858,5.70841,6.00812,6.61795,6.35705,4.29093,8.00796,5.9676,4.20751,7.72368,9.61474,8.21008,7.78775
ABCD3,7.18172,7.25497,7.8551,6.68163,8.53833,6.76551,9.39982,7.14761,6.70479,7.93379,7.93497,8.27512,8.70616,10.1037,9.51188,7.31595,7.47049,7.83383
ABCD4,6.66565,7.81376,6.0095,11.4215,7.11958,7.3851,7.16281,5.57152,9.93656,7.80338,5.57379,8.89306,7.3921,6.81065,4.21617,6.3137,9.48132,7.60034
ABCE1,28.8441,22.8686,19.5423,22.3316,27.0911,28.469,24.3916,26.8414,20.8453,25.2753,33.3489,22.2121,30.4151,34.6967,48.5303,29.0215,24.2891,27.8668
ABCF1,26.004,22.0317,21.4072,19.4056,22.7905,18.5413,23.7976,16.9642,23.1343,25.2733,25.421,26.4327,22.3549,26.3846,26.9235,17.4204,22.9493,15.1407
ABCF2,25.72,14.5071,21.1685,13.8123,19.269,20.6427,18.3598,9.37288,15.1077,21.5901,7.88531,18.0341,6.44674,7.82966,10.0964,13.3156,15.2536,14.5467
ABCF3,15.0093,13.7834,12.414,20.0408,14.361,13.7444,12.6866,13.6721,15.5038,12.6351,18.523,18.3392,18.3345,21.9906,17.1815,12.5979,15.0776,11.4134
ABCG1,14.6885,6.06312,6.9821,6.63838,5.92441,7.80661,5.79688,5.7913,8.82729,5.70768,19.34,8.93678,30.7731,31.2062,19.7983,12.7946,6.71069,3.75203
ABCG2,0.451327,0.163351,0.518548,0.288024,0.617521,0.728243,0.36525,0.23784,0.389025,0.537321,0.538428,0.085845,0.236225,0.174935,0.241833,0.384069,0.135502,0.249236
ABCG4,0.00470131,0,0,0.00384148,0,0,0,0,0.00387892,0,0.00854307,0.00418284,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,0,0.0188848,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0.00589713,0.0062598,0,0,0,0.00554143,0,0,0,0,0.0115532,0,0,0,0,0,0
ABHD1,0.127426,0.254184,0.220906,0.330599,0.244165,0.222796,0.249429,0.380207,0.243714,0.215931,0.334141,0.373915,0.435384,0.32353,0.197548,0.154411,0.1937,0.341267
ABHD10,9.24482,9.73036,7.26184,6.58771,8.65557,8.41646,6.27078,8.84086,6.72372,8.05684,8.65787,9.03828,10.1187,8.66961,10.7507,10.682,9.25226,8.50906
ABHD11,3.41891,4.07011,5.70314,4.28524,2.98807,2.68449,5.34192,4.29905,4.24586,3.20618,4.01548,3.70914,3.46239,3.48643,2.28531,3.5856,3.60548,3.73674
ABHD11-AS1,0.164831,0.640631,0.473182,0.513702,0.419714,0.334332,0.505146,0.478894,0.142921,0.294875,0.387846,0.0487056,0.0487437,0.0938302,0.167316,0.328607,0.092138,0.548625
ABHD12,10.0412,16.6518,16.3916,15.9047,12.0629,13.9944,17.8332,15.9539,12.9276,14.6715,11.4074,11.7849,11.1848,12.7823,12.5652,15.9206,10.1469,20.7638
ABHD12B,0,0,0.095839,0,0,0,0.0211735,0,0.0103395,0,0,0,0.0111842,0,0.0385703,0,0,0.0138797
ABHD13,7.7918,9.60845,9.08647,7.63998,10.525,8.23506,6.97972,13.1102,9.42258,8.86542,18.3113,6.62222,15.3507,14.5913,16.9807,15.0392,9.00813,14.909
ABHD14A,25.8929,20.2418,21.9869,17.4037,18.4873,38.4229,19.133,24.0355,15.2184,26.3764,19.8071,17.8577,14.4494,14.8422,16.2135,27.8902,19.2294,31.3345
ABHD14A-ACY1,0.784556,0.00026632,0.518772,1.89136,0.553724,0.0560268,1.29584,2.08072,0.448369,0,0.141354,0.69525,0.00139559,1.03348,0.903487,0.845452,0.604211,1.80805
ABHD14B,65.7036,62.7367,64.8023,47.9838,68.3445,71.848,44.0542,67.0069,34.7133,59.0436,55.1044,70.3048,48.772,50.5491,71.925,83.1463,44.4927,90.8853
ABHD15,9.2908,10.4171,11.6735,6.88733,10.573,16.0216,7.69062,7.02032,9.1704,11.5483,10.8581,8.98962,10.2479,8.55631,6.84615,8.33903,9.31748,13.2169
ABHD16A,17.6174,16.299,20.1029,21.7781,15.4336,19.6643,22.4323,16.6079,17.0868,17.1091,13.8777,16.9461,12.8711,15.5704,11.7382,15.9241,18.0946,19.3083
ABHD16B,3.15398,3.71468,2.91223,2.98272,2.62518,4.56833,3.20412,1.984,2.87592,2.25355,2.49012,4.64815,2.80188,2.36681,2.74045,2.7073,2.94655,2.92268
ABHD17A,118.455,153.286,150.02,153.938,132.558,258.378,161.413,96.4575,131.95,138.695,129.943,100.747,81.0109,99.6653,87.1902,139.631,112.299,236.14
ABHD17B,8.27552,10.2,8.7488,11.0136,10.8562,8.1654,10.0877,12.685,8.83285,7.56002,26.0374,7.21526,25.8123,26.2004,25.9253,14.0525,8.1264,16.5564
ABHD17C,0.947405,2.35213,2.63258,1.03753,1.52526,1.91421,2.3488,1.80974,2.1859,1.88726,1.81944,1.13906,1.53329,1.69027,2.14688,2.21597,1.30131,3.58715
ABHD2,15.2515,7.5817,19.0063,7.42996,11.517,13.3705,10.614,6.19147,10.3601,15.0409,6.005,9.42356,11.0272,10.0294,12.4955,9.00763,10.12,14.1211
ABHD3,9.87881,8.84491,14.2979,10.5114,7.4958,10.7969,10.0142,5.17651,17.5367,12.8421,4.34134,8.37467,5.10361,4.70205,6.29558,5.47026,9.3323,8.74241
ABHD4,5.54949,4.15227,6.8455,2.64935,4.27665,3.11291,4.469,3.70717,4.1877,5.23772,5.1735,5.55924,4.06916,4.38264,4.6732,3.40617,4.66772,5.05237
ABHD5,0.817358,1.19383,1.51654,0.995717,1.42978,0.846622,1.8984,1.42987,1.60116,1.17337,3.00152,0.738421,2.81088,2.79394,2.41858,1.36493,1.19277,1.46401
ABHD6,1.31972,1.84708,2.66366,0.897371,1.53049,1.93082,1.64834,0.72771,1.44142,2.52215,1.42866,1.70583,1.41197,1.30013,1.66932,1.38651,1.35589,1.775
ABHD8,5.48246,5.20656,6.04081,4.48417,5.62678,7.4219,7.67833,3.65641,3.70054,5.56606,5.20732,5.43261,3.94752,4.10053,4.6709,5.031,4.24064,4.09349
ABI1,33.8925,28.2434,31.4558,24.0848,29.1339,33.0687,27.2942,34.1515,24.911,29.9364,36.9152,26.6183,36.2861,38.7934,44.9105,38.1823,29.8336,38.0686
ABI2,7.91165,5.9336,5.36421,7.10509,7.02443,6.00443,4.2624,6.4261,6.53777,6.84675,4.50935,7.7319,4.9355,4.8167,5.77642,7.88319,8.31505,7.66872
ABI3,9.71441,14.7783,44.7238,9.95588,11.6922,14.049,23.7963,4.50489,13.6202,12.1559,7.28023,6.43935,3.79182,4.36976,4.94553,7.92061,14.5746,13.5466
ABI3BP,0.0338318,0.0136653,0.0253776,0.00614895,0.0432485,0.0465363,0.0064237,0.0300825,0.0309876,0.0134021,0.00683426,0.036793,0.0237278,0.00661802,0.0156009,0.0114192,0.0127175,0.0167992
ABL1,9.4137,9.01501,9.20129,9.59106,8.23873,7.70527,8.71862,10.4451,9.07758,8.03101,11.9095,8.85023,11.5505,12.6294,11.3251,8.68718,8.49431,7.77484
ABL2,2.24909,2.09297,1.5389,3.05173,1.99491,1.46241,1.55143,3.83757,2.44588,1.94626,3.04121,2.37909,3.9351,4.09332,3.12803,2.71725,3.01207,1.63357
ABLIM1,104.142,53.3122,54.4715,70.7701,77.7782,64.568,48.1543,62.9961,48.834,82.1266,49.3742,93.3201,65.9131,68.204,69.9649,70.0502,70.7514,52.5243
ABLIM2,0.577199,0.519302,0.597056,0.330644,0.515028,0.306693,0.321532,0.698641,0.398506,0.381089,0.699086,1.23113,0.668358,0.771566,0.715402,0.451072,0.491303,0.445201
ABLIM3,0.00550541,0.0957776,0.0328469,0.0444613,0.0795314,0.00567621,0.0231729,0.004144,0.0102519,0.0245385,0.00999893,0.0375053,0.00496158,0.0242059,0.111691,0.0411429,0.0140964,0.0185187
ABO,0.0230635,0.0209183,0.0999757,7.29181,0.276231,0,0.00981942,0.872338,0.201139,0,0.0104347,0,0.0933545,0.0303104,0.0357739,0.0349473,0.0292216,0.0257407
ABR,15.0879,14.0469,23.3993,16.2356,12.7859,12.1179,10.7451,10.8634,20.7821,14.175,11.4564,13.3138,16.8015,14.5854,16.167,11.2825,18.6293,11.9732
ABRA,0.0188067,0.0113872,0.0302181,0,0.0180274,0,0,0.00626085,0.0155408,0,0.00569018,0.0167311,0.0564834,0.0275498,0.0389835,0,0.0105998,0
ABRACL,115.154,87.8135,131.531,49.6374,109.76,155.262,100.612,65.9803,57.0585,118.975,56.557,95.1557,43.5108,59.1381,75.6353,88.8648,68.8747,94.0729
ABT1,18.9549,29.9167,25.116,28.7396,25.6064,27.0536,31.8982,41.3881,21.91,21.9617,57.8572,20.9953,40.2937,50.3573,48.2033,46.9261,21.0687,40.0222
ABTB1,31.2343,36.1572,33.3674,49.3603,32.2524,34.2643,33.9112,31.1993,34.4106,35.8136,32.3677,39.8926,33.4793,35.7269,28.5029,33.3535,33.5557,35.1083
ABTB2,0.105924,0.12733,0.0889789,0.187301,0.176906,0.0669828,0.213153,0.170938,0.228075,0.10659,0.220575,0.14898,0.240353,0.270757,0.177286,0.186854,0.222539,0.0801706
ACAA1,27.2209,30.8501,49.9822,44.434,30.8522,38.3507,42.8598,28.7277,38.4112,37.6996,25.1057,35.6595,24.3602,24.0238,29.0945,36.2619,33.5867,44.1125
ACAA2,17.6153,23.2578,44.3913,10.5444,30.316,40.3132,35.9812,22.502,17.9747,35.4735,13.6527,18.1877,11.3688,13.0422,23.7564,19.8438,21.1266,39.7638
ACACA,2.04813,1.44623,1.72065,2.51123,2.16325,1.71817,1.8553,1.36098,1.94598,1.6631,2.02891,2.04075,2.38539,2.8684,1.67688,1.56204,2.25211,1.29791
ACACB,1.9344,2.62788,0.712469,4.09344,1.50167,0.767917,1.24791,3.12637,2.18893,1.49554,2.49094,2.67328,3.08619,3.19795,1.10325,1.74176,4.17816,0.727877
ACAD10,4.08306,4.1821,3.99478,8.68758,4.12424,4.01513,4.38263,3.97807,6.05045,3.64034,3.89992,7.01185,4.72729,4.85136,2.72095,3.23159,6.20482,3.27511
ACAD11,2.93405,2.65095,1.7834,10.7647,2.6533,2.20914,2.54111,3.34313,8.24624,2.71272,2.56238,4.72172,4.47032,3.22344,1.29959,2.28581,5.81608,2.49138
ACAD8,8.0955,8.55969,8.44119,12.8952,9.24343,8.8989,8.57914,5.5275,11.4786,6.53442,5.44399,8.91969,6.36267,5.8112,5.92844,7.99301,9.97306,7.67555
ACAD9,5.46102,4.11133,7.79722,7.14709,5.24151,5.89152,8.34601,3.15645,7.22323,6.33788,3.14372,6.36706,3.45948,4.0172,3.12761,3.65436,5.1961,4.7603
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,20.3634,12.85,14.4428,9.13906,17.3073,21.808,16.5153,8.71265,10.5686,19.5525,7.46426,12.4051,6.23164,6.48646,8.8982,9.40449,11.7405,16.319
ACADS,6.90301,5.33733,8.36782,8.09081,7.42049,9.46847,9.35555,4.31501,6.31813,7.56354,4.37787,7.81284,4.71013,6.36956,5.00037,4.69841,6.82878,5.52522
ACADSB,9.6169,8.54104,7.30366,7.22153,8.3883,6.90344,5.96953,7.48374,6.75516,7.88699,6.3953,8.6923,8.51532,8.05834,9.65066,10.3991,9.37212,8.62663
ACADVL,32.7782,37.2606,41.6603,51.8079,34.6647,46.1149,48.4008,40.6553,52.5908,39.4535,38.9766,31.4302,31.5344,33.2579,41.6751,53.4221,32.1177,56.5219
ACAN,0.0289464,0.00526353,0.0074462,0.0205546,0.00370045,0,0.00956192,0.02899,0.0254074,0.00687883,0.0210733,0.0257599,0.0330818,0.0391139,0.020038,0.0215065,0.0179592,0.0107823
ACAP1,107.412,109.617,89.2769,209.201,119.751,142.169,85.8108,124.728,136.208,104.472,112.816,165.221,102.903,106.684,94.7609,133.662,127.629,118.019
ACAP2,23.1921,18.1803,20.185,15.7843,21.5651,15.6376,12.3097,15.0817,18.4204,18.4861,16.683,17.4538,20.5749,18.5862,22.7189,20.4024,20.6966,15.1188
ACAP3,5.39262,7.14921,6.70896,20.1018,5.54596,8.66361,6.67032,8.47536,17.002,4.91125,9.52529,8.71355,8.64994,8.74774,6.1732,9.04243,8.88823,6.6186
ACAT1,17.8855,14.7066,17.2773,7.07364,14.1581,14.9018,15.6037,8.80456,10.7745,14.8423,5.24788,11.2084,6.05972,9.14096,12.5868,14.4368,10.126,18.6611
ACAT2,16.5388,15.496,16.0281,8.6194,13.7338,21.3992,20.1395,12.1927,13.413,18.2003,11.3949,16.4271,9.05191,13.4834,13.0381,15.8609,12.1984,16.3578
ACBD3,13.7249,13.1936,13.869,8.1799,14.4191,10.7374,12.711,20.421,10.6484,13.921,23.4783,10.7269,20.5673,21.4015,28.5126,20.1186,12.985,16.3863
ACBD4,6.82147,5.48909,5.24788,12.9749,5.60619,7.49847,6.21653,5.97584,8.93474,5.53566,4.35811,7.51424,4.33224,3.93029,3.33597,6.41674,6.74878,5.95007
ACBD5,4.06575,8.3777,6.3924,6.14866,5.44564,4.92484,7.01619,10.5563,9.16561,5.28144,13.435,4.7579,10.4375,9.88203,10.4621,10.6391,8.56783,11.4455
ACBD6,23.5256,27.2904,22.3491,27.7675,24.6517,31.9539,23.288,34.4375,21.1014,23.7548,30.6149,22.6398,25.5392,27.2805,29.489,34.3795,21.0776,34.4581
ACBD7,0.101172,0.188428,0.102432,0.169415,0.334612,0.0678125,0.0604761,0.106176,0.0751544,0.175859,0.133252,0.252039,0.186944,0.15573,0.120649,0.0870439,0.299428,0.107363
ACCS,2.25322,1.11499,0.741265,5.35007,0.717122,0.683854,2.19551,3.38383,4.73149,0.583741,0.844193,1.30362,3.55032,0.987993,0.930748,0.857494,1.58437,1.07573
ACCSL,0,0,0,0,0,0,0,0,0.0081576,0.0175445,0,0,0,0,0.0203608,0.0198861,0,0
ACD,13.4704,12.8549,14.525,11.2669,14.1236,10.989,13.7819,10.4033,10.5242,12.803,7.35417,14.4313,7.15651,6.46167,7.22042,10.5279,11.3967,16.3076
ACE,1.54337,1.4257,2.4311,0.891782,0.509508,1.48463,0.836837,2.71425,2.50177,2.28564,2.46971,0.899866,2.72601,2.95814,2.71014,2.02027,1.35105,2.17997
