,Eigenvector_value,L140_IRI,L149_IRI,L062_IRI,N048_IRI,N068_IRI,N090_IRI,N098_IRI,L005_IRI,L027_IRI,L031_IRI,L072_IRI,L074_IRI,L078_IRI,L102_IRI,L115_IRI,L133_IRI,L137_IRI
SLC22A18,0.013421612,2.358178482,1.436307404,0.743531655,0.363461229,0.401075815,0.981949089,1.116784583,-0.955481536,-0.748714396,-0.946671977,-0.231119455,-0.904699932,-0.938041292,-0.829607472,-0.973408509,-0.686448905,-0.187094782
RETSAT,0.013320473,2.097574145,1.923279138,0.858960795,0.048923405,0.141757885,1.339376672,0.844261022,-0.841180648,-0.736133186,-0.881441372,-0.447045705,-0.751675844,-0.840633765,-0.826943779,-0.834228956,-0.711479569,-0.383370237
SLC25A1,0.013313508,2.311283313,1.733135182,0.513678132,0.534849632,-0.040798386,0.995950313,1.145854381,-0.776531418,-0.845186277,-0.966229672,-0.392109394,-0.959016349,-0.979544842,-0.712927564,-0.654100399,-0.630985579,-0.277321073
LDB1,0.013347917,1.914834914,1.903205417,1.089932559,0.240106832,0.111933969,0.936332449,1.063481811,-0.901085734,-0.855816006,-1.003057293,-0.214002724,-0.815186065,-0.948016675,-0.868549208,-0.981442853,-0.680308207,0.007636815
FTSJ1,0.013325091,1.983047458,1.632444125,0.696706637,0.497565122,-0.065849095,1.472379089,0.996185556,-1.028317439,-0.863033712,-0.943701394,-0.304297968,-0.717740935,-0.842371812,-0.799566479,-0.994986861,-0.805221388,0.086759094
SRSF9,0.013383269,2.297194274,1.605323993,0.886349317,-0.223024623,0.2162112,1.284178265,0.959154492,-0.816731113,-0.802063414,-0.864209348,-0.080669357,-0.83611876,-0.926528244,-0.771546933,-0.861976892,-0.782154624,-0.283388234
DNAJB12,0.013307808,2.262069519,1.75759647,0.53762786,0.320870955,-0.305219147,1.198986716,0.76456948,-0.92273364,-0.859196271,-0.92191364,-0.230257079,-0.843855738,-0.95916139,-0.684660084,-1.004252026,-0.554114226,0.44364224
DGCR8,0.01332459,2.052468736,1.799091817,1.069248934,0.120688915,0.031559516,0.907956111,1.141724688,-1.072597219,-0.717480777,-1.164702171,-0.305410048,-0.842854852,-0.940670339,-0.613510417,-0.864955269,-0.431684942,-0.168872683
SLC35C2,0.013465851,2.107467932,1.724172666,0.718172025,0.127706449,0.236460617,1.330348808,0.977850633,-0.789668399,-0.821853349,-0.985520213,-0.325805767,-0.880936027,-0.941137601,-0.787900337,-0.989478767,-0.730117248,0.030238577
SLC20A1,0.013326228,2.045819431,1.74947921,1.241142191,0.039995703,0.209015203,0.973769496,0.727558953,-1.11912958,-0.668642797,-1.180912332,-0.20424231,-0.786840515,-0.913933428,-0.712832391,-1.004219813,-0.649009679,0.252982657
AIFM1,0.013312585,2.35664085,1.546492169,0.882859718,0.007911288,0.078399648,1.475966556,0.650874832,-0.85488577,-0.735494081,-0.940260105,-0.445804126,-0.710397391,-0.8523803,-0.661349904,-0.877883417,-0.74467559,-0.176014376
SNRPA1,0.013353428,2.02806527,1.569664557,1.260121688,-0.166982995,0.010919243,1.176902062,0.881567008,-1.06734921,-0.601197566,-1.244018998,-0.039516973,-0.778543266,-0.991648249,-0.719836811,-0.974072341,-0.626605147,0.282531727
PSMD11,0.013339785,2.357165398,1.265944738,0.931767279,-0.047333929,0.216351728,1.394472827,0.965986053,-0.793929473,-0.788777113,-1.008602736,-0.370989294,-0.863254244,-0.887248422,-0.683320249,-0.85619748,-0.772842046,-0.059193037
PDCD1,0.013301627,2.321925228,1.716398888,0.427910389,0.341308151,0.318303375,0.790675255,1.227570074,-1.069107117,-0.544610738,-1.129160096,-0.247599264,-0.88247333,-0.656521554,-0.698082715,-0.979708126,-0.785433174,-0.151395247
DGAT1,0.013307698,2.221089197,1.457960023,0.674567781,0.113209004,0.289928365,1.213112134,1.426107306,-0.878743084,-0.767133919,-0.981915608,-0.389605847,-0.742246701,-0.841367093,-0.777778731,-0.871867578,-0.69561312,-0.44970213
L3MBTL2,0.013432797,2.295876751,1.564134848,0.721068028,0.326130875,-0.019366209,0.988383556,1.16814727,-0.743657349,-0.816083353,-1.037824492,-0.319724401,-0.899889326,-0.86685001,-0.788119135,-0.925219463,-0.790417236,0.143409646
EOGT,0.013332271,2.711956021,1.178491373,0.81908754,0.085411994,-0.220364499,1.040507813,1.044105512,-0.75558092,-0.556477561,-0.91712996,-0.552193337,-0.731855008,-0.79043658,-0.776079051,-0.892774901,-0.788304829,0.101636393
PLXNA1,0.013349573,2.126785855,1.397827189,0.750723511,0.330512838,-0.11619252,1.247057009,1.339862153,-0.798854803,-0.537712843,-1.176574172,-0.454069612,-0.733919196,-1.066132107,-0.732617285,-0.926446012,-0.715827709,0.065577704
KCNAB2,0.013353594,2.181005053,1.266329455,0.885224595,0.406858353,-0.020822718,1.34427215,1.160975891,-0.844809661,-0.791437848,-1.012132286,-0.368051756,-0.864041786,-0.869251357,-0.842081938,-0.94538599,-0.761094163,0.074444007
HNRNPH3,0.01343182,2.453899102,1.471242765,0.921662663,0.431826716,-0.351424778,1.173741561,0.849434148,-0.717322564,-0.751156963,-0.960803912,-0.24466114,-0.750879763,-0.8932734,-0.774781105,-0.881870675,-0.842494656,-0.133138
VPS26B,0.013326763,2.299413503,1.190407472,0.772152975,-0.073545734,-0.151237424,1.373133541,1.380049643,-0.72574287,-0.592353841,-1.043565792,-0.458144432,-0.779913408,-0.959436287,-0.812948442,-0.926406111,-0.61341762,0.121554828
N4BP2L2,0.013314482,2.580017559,1.229225117,0.768676984,-0.113652443,0.084347328,1.469027393,0.842424106,-0.758385409,-0.476731881,-0.968562594,-0.52275414,-0.804424234,-0.874247784,-0.686513539,-0.911467052,-0.65023951,-0.206739901
SMYD5,0.013370905,2.551528455,1.415041266,0.824237185,0.212731821,0.033353243,0.776939422,0.896305468,-0.948861317,-0.822163873,-1.117235866,-0.299142708,-0.883337086,-0.946619153,-0.650204266,-0.963315326,-0.422916095,0.34365883
FAM206A,0.013377404,2.153031555,1.592858245,0.877325342,-0.03791455,0.144058654,1.47523666,0.967306027,-0.827350292,-0.770656472,-0.92391483,-0.625139952,-0.898144494,-0.850793926,-0.735160936,-0.853575255,-0.659685287,-0.027480492
DMAP1,0.013360605,1.874936937,1.433288259,0.854164174,0.319530475,0.130966984,1.555416202,1.301855896,-0.873886394,-0.841036679,-1.038757976,-0.286516981,-0.867190366,-0.938205501,-0.78331698,-0.997095932,-0.741968549,-0.102183568
PRKAA1,0.013318557,2.57866642,1.126546883,0.761508327,0.457177426,0.051228304,1.043760094,1.054923277,-0.934782849,-0.607979484,-1.125193434,-0.408479664,-0.760264559,-0.94740249,-0.699744456,-0.973398827,-0.4769507,-0.139614269
JAK3,0.013324403,1.824855275,1.606385168,0.984395775,0.179517828,0.293559725,1.275823597,1.234222931,-0.977806215,-0.761072649,-1.149216089,-0.340926197,-0.784297102,-0.931733806,-0.811184807,-1.057798591,-0.626559532,0.041834687
DDX51,0.013302763,2.248210896,1.181133022,0.665834166,0.161876168,0.318192094,1.464074074,1.242336901,-0.865935571,-0.87629117,-0.91781643,-0.450483502,-1.019857496,-0.737589525,-1.02939105,-0.772430237,-0.660628348,0.048766006
CCDC82,0.013334617,2.391268559,1.282320667,1.219520227,-0.094528925,-0.079389944,1.056318666,1.070632253,-0.903809392,-0.650849767,-1.101373614,-0.261421483,-0.773692289,-0.963656798,-0.498612885,-1.010482303,-0.585560861,-0.096682111
CTBP1,0.01331125,2.499882108,1.61797791,0.456668778,0.269034607,-0.048601032,1.254315431,0.988531213,-0.603425539,-0.779033166,-0.834458262,-0.527611112,-0.767164082,-0.855307744,-0.764417755,-0.874765403,-0.669910122,-0.361715831
TMUB2,0.013362666,1.989806652,1.720170451,0.703323686,0.244432851,0.242891258,1.187089085,1.063131502,-0.633221885,-0.471907644,-1.343324605,-0.298033686,-0.931679904,-1.391058337,-0.754302769,-0.761232929,-0.622220699,0.056136974
TMEM126A,0.013322155,2.277790466,1.665755297,0.880208343,-0.16026251,-0.075265611,1.46263058,0.620937448,-0.77389946,-0.552307624,-0.972911802,-0.197974947,-0.813305903,-0.802128189,-0.770000525,-1.021712894,-0.778600796,0.011048127
SIVA1,0.013379531,2.092908468,1.806776156,0.967674784,-0.180182956,0.157090316,1.23807919,0.738472421,-0.955185174,-0.814825995,-1.095595353,-0.089893898,-0.77601205,-0.864530172,-0.787512179,-0.987825434,-0.654328821,0.204890697
IFT20,0.013345239,2.588056028,1.411631836,0.409983518,-0.009054673,-0.112402878,1.41631001,0.973659121,-0.747187766,-0.843386874,-0.933411455,-0.18925826,-0.713351743,-0.816923786,-0.679368957,-0.879158168,-0.695185829,-0.180950124
PNPLA2,0.013388355,1.993245142,1.583367463,1.15420665,0.316914688,0.199048307,1.076072492,1.179581262,-0.952709873,-0.884911566,-1.078614527,-0.468569141,-0.898932094,-0.867692558,-0.850085805,-0.826730969,-0.636713629,-0.037475842
TMEM129,0.013362483,2.114728122,1.603812534,1.084179509,0.312697639,-0.053237386,1.234362157,0.960932264,-0.555838384,-0.78852298,-0.780708908,-0.266494558,-0.915601101,-0.936088299,-0.981612916,-1.090771011,-0.813982396,-0.127854287
DNAJC19,0.013341927,2.521709141,1.53973081,0.519557246,0.230689301,-0.019021262,1.316494944,0.797939457,-0.799654036,-0.845251085,-0.972624723,-0.341349808,-0.825687681,-0.828752787,-0.418974326,-0.929279611,-0.765577989,-0.179947591
ORMDL1,0.013366575,2.500969315,1.350462305,0.78082418,0.214324402,-0.363968489,1.358074171,0.99353561,-0.571323409,-0.811319892,-0.864264807,-0.502165711,-0.794854111,-0.970508328,-0.657488179,-0.922044327,-0.630164353,-0.110088377
TIMM44,0.013479838,2.126598724,1.611989242,0.961639666,0.063920495,0.258456294,1.258204074,0.9499934,-0.837512295,-0.814065106,-1.086406665,-0.31647856,-0.88834594,-0.944854518,-0.739470298,-0.957801271,-0.707432769,0.061565527
AMICA1,0.013326895,2.320648605,1.371617665,1.21716132,-0.008188991,0.288574584,1.24011764,0.612472427,-0.827422817,-0.748632743,-1.045691436,-0.167405561,-0.935940453,-0.938750372,-0.68036254,-1.07735726,-0.628714892,0.007874825
ISCU,0.013474473,2.300249747,1.428719809,0.854145109,0.45346829,-0.193545475,1.262224965,0.94675529,-0.955686734,-0.824707948,-1.080744253,-0.298903789,-0.700410476,-0.922534907,-0.808015637,-0.971217785,-0.557371243,0.067575035
C11orf58,0.013314705,2.791854601,1.306161846,0.712730486,0.201215462,-0.045980466,0.940325726,0.743364739,-0.815651536,-0.745222472,-0.995406777,-0.272668533,-0.845514377,-0.882222544,-0.623694939,-0.970388271,-0.477685498,-0.021217449
HARS2,0.013418644,2.034003287,1.426007782,1.135894084,0.224082277,-0.040268983,1.191196053,1.082062816,-1.043859409,-0.723174781,-1.293506234,-0.296530364,-0.859941228,-0.919629225,-0.600300192,-1.061037357,-0.54857455,0.293576023
SRPR,0.013323732,2.201569032,1.197557748,0.6791281,0.571014967,-0.241979077,1.431950257,1.174568819,-0.873036434,-0.89164284,-1.009676485,-0.380298455,-0.861261247,-0.956386486,-0.819842079,-0.841224771,-0.714698958,0.334257909
WIPI2,0.01332447,2.243623399,1.201529182,0.880211801,0.692701146,-0.10579157,1.317888683,1.001926079,-0.816686032,-0.850681429,-1.000342778,-0.452327208,-0.882194372,-0.862981803,-0.846374318,-0.971290488,-0.764954285,0.215743991
RBMX,0.013373297,2.042422734,1.67062671,0.80968705,0.180395863,0.050184612,1.248109163,1.014595705,-0.941191734,-0.86684284,-1.015161077,-0.116238795,-0.811544858,-1.014244006,-0.878281925,-0.914072917,-0.626808998,0.168365314
CHFR,0.01330152,2.089193544,1.215765848,0.993454462,0.134304749,0.287090076,1.492324246,1.085854336,-0.817963344,-0.720678672,-1.028444553,-0.272255274,-0.873766137,-0.948615142,-0.825097003,-1.047061692,-0.764671135,0.00056569
RNF44,0.013400151,2.190848246,1.821838105,1.017032088,-0.016786293,0.273645706,0.940642335,0.915845278,-0.937301204,-0.797447679,-1.089006386,-0.365003712,-0.790276441,-0.918202944,-0.725845396,-0.831279358,-0.636253405,-0.052448941
SBF1,0.013308369,2.465028475,1.581912035,0.773937172,0.094394381,0.071889865,0.944707008,1.079458162,-0.800802265,-0.787931387,-0.979986854,-0.393722004,-0.83460524,-0.809893934,-0.62530131,-0.894816317,-0.601244119,-0.283023665
TSC2,0.013333156,2.229815047,1.814792373,0.676411228,0.138201721,0.132587919,1.103316641,1.132016441,-0.810793498,-0.789328736,-0.919540987,-0.443855444,-0.828500868,-0.874465016,-0.710521762,-0.847050565,-0.619135821,-0.383948673
HARS,0.013335056,2.325795853,1.450739984,0.610096488,0.072647031,0.193592677,1.249804882,1.291055737,-0.674640148,-0.778803286,-0.948019316,-0.447206133,-0.806023754,-0.902108391,-0.765122985,-0.901823207,-0.707689886,-0.262295546
XPNPEP1,0.01332052,2.244303559,1.344982577,0.602124447,0.474795229,0.018591114,1.081615819,1.08640077,-1.026516974,-0.473116294,-1.266040892,-0.258120586,-0.915215629,-1.020145996,-0.734174947,-0.885940144,-0.73779551,0.464253457
RNH1,0.013343538,2.17626772,1.644562056,0.467184586,0.119987417,-0.2019091,1.32257787,1.215859925,-0.862696101,-0.887543725,-1.052976343,-0.262897242,-0.82879634,-1.017608563,-0.768448785,-0.781631443,-0.407089811,0.125157881
RPAIN,0.013349389,1.946934882,1.503586178,0.822735123,0.233331775,0.135417175,1.595696595,1.212225763,-0.682432251,-0.738336661,-1.032698559,-0.525905258,-0.873952828,-0.888007015,-0.778493296,-1.003916495,-0.754316669,-0.17186846
NSMCE4A,0.013386523,2.080565801,1.591896091,0.754099486,0.07708112,0.217733551,1.302400077,1.220044336,-0.818169478,-0.851294218,-0.926959167,-0.182216039,-0.799851827,-0.942926152,-0.776604742,-1.037951923,-0.789736822,-0.118110094
COA5,0.013386178,2.589915722,1.168269047,0.453230549,0.310257185,0.13388169,1.22277897,1.179654567,-0.784664563,-0.714709392,-0.989164501,-0.336858072,-0.788772619,-0.911323994,-0.690934128,-0.913419827,-0.839593245,-0.08854739
NOP56,0.013341074,1.862382982,1.46572521,0.934250758,0.32689102,-0.076115497,1.330723911,1.340095514,-0.967662736,-0.780918489,-1.335227709,-0.235032638,-0.959351778,-0.908912977,-0.813372613,-0.661351002,-0.688101904,0.165977946
SDCCAG3,0.013424506,2.321628626,1.497358947,0.636863518,0.110054839,0.111716448,1.358764469,1.117659954,-0.683951996,-0.847022015,-1.016838297,-0.535456465,-0.792121514,-0.89718599,-0.792547573,-0.945769118,-0.501962393,-0.141191438
IVD,0.013387895,2.01569207,1.493805279,0.972882058,0.456339657,0.191754568,1.12701912,1.150520118,-0.9413677,-0.965680168,-0.996456199,-0.430084956,-0.86696635,-0.985464287,-0.860817965,-0.997768168,-0.593781074,0.230373998
POMGNT1,0.013322427,2.439627069,1.783789776,1.001902784,-0.111175613,0.097216126,0.976739399,0.73703478,-0.700195976,-0.755882609,-0.906333643,-0.363364812,-0.861763458,-0.820559602,-0.717003679,-0.846869435,-0.688123751,-0.265037357
RAD23A,0.013401852,2.198285482,1.436214099,0.86528571,0.191573771,0.015517577,1.365108684,1.190712934,-0.718803015,-0.801891553,-0.983337895,-0.327359498,-0.876201594,-0.825625707,-0.783181754,-0.955072297,-0.755543337,-0.235681605
CACTIN,0.013370742,1.918884693,1.652578326,0.989414182,0.0567427,0.245551452,1.542953939,0.837778564,-0.70210165,-0.768784348,-1.074364612,-0.314336489,-0.826162641,-0.980911966,-0.846270141,-1.021340845,-0.807340106,0.097708941
SMARCD1,0.013331901,2.417596146,1.333804948,0.938638573,-0.076187293,-0.190574502,1.087654955,1.166585636,-0.665015582,-0.762538696,-1.105078007,-0.311622912,-0.768657936,-0.805286941,-0.805214459,-0.94770848,-0.622816719,0.116421271
NKIRAS2,0.013331847,2.258198576,1.77188329,0.636693038,0.137462805,-0.486859134,1.175074082,1.025101025,-0.923694677,-0.704120784,-0.935909185,0.101914615,-0.753234271,-0.799257317,-0.771815911,-0.97699134,-0.723693161,-0.03075165
CSTB,0.013398926,2.262343403,1.543767009,0.652140504,0.201415114,0.097795092,1.127645786,1.24074136,-0.774853244,-0.569512515,-0.92142523,-0.230730421,-0.856154637,-0.998243798,-0.75586189,-0.979780552,-0.907684541,-0.131601442
MORF4L2,0.013327161,2.654571379,1.535779324,0.997911063,-0.115392208,-0.222791356,1.054935294,0.569701403,-0.835474134,-0.712012934,-0.883065955,-0.221185525,-0.704743555,-0.826554533,-0.68991151,-0.868790267,-0.75759193,0.024615445
DCUN1D2,0.013371318,2.034523072,1.358544697,0.762463216,0.056018944,-0.095134414,1.302685219,1.465033086,-0.937580027,-0.649415352,-1.165328403,-0.168177826,-0.759698714,-0.95465508,-0.800627648,-1.138772024,-0.529031812,0.219153065
NOC2L,0.013368805,2.554113145,1.360155467,0.77622876,0.151103141,0.05685628,1.18570727,0.996576406,-0.817406867,-0.79636169,-0.90261363,-0.434942845,-0.818459899,-0.830959689,-0.734822318,-0.837283056,-0.621966817,-0.285923658
YIPF5,0.013336628,2.444348862,1.592087287,0.475534724,0.077805896,-0.226419615,1.071637606,1.2663262,-0.84858818,-0.763631544,-0.88233878,-0.066856481,-0.779492996,-0.855994631,-0.623754266,-0.958260092,-0.713965588,-0.208438402
DSN1,0.013323315,2.214028183,1.359549812,0.629901083,0.196093922,0.11778898,1.402141158,1.260240609,-0.77949952,-0.492605111,-0.848848351,-0.269427676,-0.857581647,-0.902044007,-0.927289457,-0.972308525,-0.982738335,-0.147401118
ADCY7,0.013331233,1.985897426,1.667241518,1.041090297,-0.008648267,0.031471454,1.05674406,1.402749219,-0.98927314,-0.801371398,-1.017220925,-0.25480591,-0.691744349,-0.891968042,-0.79930204,-0.912597047,-0.661052402,-0.157210455
VPS28,0.013457749,2.204536682,1.828760355,0.845711205,0.09910766,0.229525473,1.06500808,0.950776482,-0.849979581,-0.785328019,-0.967152869,-0.326837322,-0.848512968,-0.902079894,-0.816167727,-0.901857694,-0.683859461,-0.141650401
ARRB2,0.013377731,2.361898996,1.808544836,0.881530698,0.030673397,0.111223821,1.098618745,0.771279642,-0.769925761,-0.733945516,-0.926199063,-0.410476075,-0.795779506,-0.853163665,-0.745513016,-0.833549386,-0.734876195,-0.260341953
ENG,0.013349161,2.202750424,1.432467356,0.72665934,0.207055714,0.240241405,1.130592765,1.047987269,-0.809340504,-0.82246361,-0.973614194,-0.43586448,-0.957937592,-1.044017044,-0.813627807,-0.886596864,-0.832096253,0.587804074
KXD1,0.013317275,2.566998946,1.546516048,0.684826567,0.176401193,0.261182353,1.053574049,0.882739978,-0.730851292,-0.733021768,-0.877875096,-0.50027211,-0.745710445,-0.872443185,-0.755867426,-0.868319003,-0.716844069,-0.371034739
GTPBP3,0.013348374,2.328197439,1.622548782,1.041093984,-0.178349195,0.422796939,1.163429367,0.669733149,-0.964710957,-0.6914689,-0.866029049,-0.325747475,-0.831412633,-0.88825119,-0.80424759,-0.841700957,-0.843793514,-0.012088202
SLC25A3,0.013372549,2.248789481,1.542401985,0.909094533,-0.056361614,-0.507402028,1.278998567,0.956371762,-0.88726889,-0.772371043,-1.008490384,-0.127834766,-0.752894121,-0.928099245,-0.781962287,-0.881257619,-0.662268629,0.430554299
ARFGAP2,0.013386292,1.92581813,1.78042199,0.719389442,0.460868374,0.017562264,1.214854717,1.156744285,-0.98241651,-0.910843825,-1.107489041,-0.25439064,-0.876646004,-0.936947687,-0.713095608,-0.944265075,-0.581393289,0.031828479
WDR45,0.013342094,1.933131027,1.47610674,0.685051044,0.236774791,0.191169629,1.648746466,1.255805042,-0.853676226,-0.617478078,-0.979706889,-0.42747543,-0.90482623,-0.935519951,-0.828000431,-0.906782273,-0.826065126,-0.147254105
PPM1M,0.013383696,2.269249287,1.77138766,0.691668467,0.280229286,0.022780448,1.242299984,0.943026626,-0.591298643,-0.800850208,-0.923916495,-0.401592109,-0.769250498,-0.886144411,-0.798159841,-0.959332433,-0.747585902,-0.342511216
NARFL,0.013334049,1.832105835,1.891639641,0.861655393,-0.02120782,0.156456689,1.24690256,1.077439314,-0.944013405,-0.860522451,-1.020529469,-0.07507224,-0.917530915,-0.809693566,-0.86910491,-0.969618545,-0.772789181,0.19388307
PPIA,0.013357743,2.574282362,1.241337958,0.487716055,0.20623964,-0.275153591,1.363589531,1.134438332,-0.814383288,-0.762699662,-0.918363503,-0.3658827,-0.741033681,-0.832568349,-0.71105796,-0.834196885,-0.741753355,-0.010510905
DEF6,0.013391698,2.072177106,1.35345986,1.070738443,0.378223806,0.16765895,1.27403437,1.060851511,-0.847783625,-0.80104795,-1.031891156,-0.363865986,-0.872565654,-0.901001574,-0.806205626,-1.037097759,-0.878871097,0.163186384
